# QIIME v1.3.0-dev OTU table
#OTU ID	PC.354	PC.355	PC.356	PC.481	PC.593	PC.607	PC.634	PC.635	PC.636	Consensus Lineage
0	0	0	0	0	0	0	2	1	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
1	0	0	0	0	0	0	0	0	1	Bacteria;Bacteroidetes
2	0	0	0	0	0	0	0	0	1	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
3	0	0	0	1	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
4	1	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
5	0	1	1	0	1	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales
6	0	0	0	1	0	0	0	1	0	Bacteria;Firmicutes;Clostridia;Clostridiales
7	0	0	0	0	1	0	0	0	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
8	1	0	1	0	0	0	0	1	1	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
9	0	0	0	1	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales
10	1	1	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
11	2	1	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Incertae Sedis XIV;Blautia
12	0	0	1	0	0	0	0	1	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter
13	0	0	0	0	0	0	0	1	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
14	0	0	0	0	0	1	0	0	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
15	0	0	1	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales
16	0	0	0	0	0	0	1	0	0	Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae
17	0	0	0	0	0	0	1	0	0	Bacteria;Bacteroidetes
18	0	0	0	0	0	0	1	0	0	Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae
19	1	0	0	1	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
20	0	0	0	0	0	1	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
21	0	1	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
22	0	0	0	0	0	2	0	0	0	Bacteria;Bacteroidetes
23	0	0	0	0	0	0	0	1	0	Bacteria;Proteobacteria;Deltaproteobacteria
24	0	0	0	1	0	0	0	1	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia
25	0	0	0	0	0	0	0	1	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
26	0	0	0	0	1	0	0	0	0	Bacteria;Bacteroidetes
27	0	0	0	0	0	0	1	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
28	0	0	0	0	0	0	2	0	0	Bacteria;TM7;TM7_genera_incertae_sedis
29	0	0	0	0	0	0	1	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
30	0	0	0	0	0	0	0	1	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes
31	0	0	0	3	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
32	0	0	0	0	0	1	0	0	0	Bacteria
33	0	0	1	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia
34	0	0	0	0	0	0	0	1	0	Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae
35	0	0	0	0	0	1	0	0	0	Bacteria
36	0	0	0	0	0	2	0	0	0	Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Olsenella
37	1	0	1	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales
38	0	1	0	1	1	0	0	0	3	Bacteria;Firmicutes;Clostridia;Clostridiales
39	0	0	0	0	0	5	0	0	0	Bacteria;Bacteroidetes
40	0	0	0	1	0	2	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales
41	0	0	0	0	0	1	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales
42	0	0	0	0	0	1	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales
43	1	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter
44	0	0	0	0	0	2	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter
45	0	0	0	0	1	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
46	0	0	0	0	0	1	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales
47	16	0	0	0	12	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
48	6	0	4	0	2	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
49	0	0	0	0	0	3	5	2	6	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacteraceae;Mucispirillum
50	0	0	0	1	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
51	0	0	0	1	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
52	0	0	0	0	1	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales
53	1	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
54	0	0	0	0	1	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales
55	0	0	0	0	1	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
56	0	0	0	0	0	1	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales
57	0	0	0	0	0	0	0	0	1	Bacteria;Firmicutes;Clostridia;Clostridiales
58	1	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Coprobacillus
59	0	0	0	1	0	0	4	10	37	Bacteria;Bacteroidetes
60	0	0	0	0	0	1	0	0	0	Bacteria
61	0	0	0	0	0	1	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales
62	0	0	0	0	1	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales
63	1	3	1	2	1	9	2	4	5	Bacteria;Bacteroidetes
64	0	0	0	0	0	1	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
65	0	0	0	0	0	0	0	0	1	Bacteria;Firmicutes;Clostridia;Clostridiales
66	0	0	1	0	0	0	0	0	0	Bacteria;Bacteroidetes
67	0	1	0	0	0	0	0	0	0	Bacteria;Bacteroidetes
68	0	0	0	0	0	1	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
69	0	0	0	0	0	1	0	0	0	Bacteria;Firmicutes;Clostridia
70	2	1	10	2	24	0	0	1	1	Bacteria;Bacteroidetes
71	0	0	0	1	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea
72	0	0	0	0	0	1	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
73	0	0	0	0	2	2	1	4	1	Bacteria;Bacteroidetes
74	0	0	0	0	0	0	2	3	2	Bacteria;Bacteroidetes
75	0	0	2	0	0	0	0	1	2	Bacteria;Firmicutes;Clostridia;Clostridiales
76	0	1	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales
77	0	1	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
78	0	0	0	0	0	0	0	2	2	Bacteria;Firmicutes;Clostridia;Clostridiales
79	1	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales
80	0	0	0	0	0	0	0	1	0	Bacteria
81	0	0	1	0	0	0	0	0	0	Bacteria;Bacteroidetes
82	0	0	1	0	0	0	0	0	0	Bacteria
83	0	0	1	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Incertae Sedis XIV;Blautia
84	0	0	0	1	0	0	1	2	19	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
85	0	0	1	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
86	0	0	0	1	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
87	0	0	0	1	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales
88	0	0	0	1	0	0	0	0	0	Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae
89	0	0	0	0	0	0	1	3	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Butyricimonas
90	0	0	0	0	0	0	0	1	0	Bacteria
91	0	0	0	0	0	0	0	1	0	Bacteria
92	0	4	4	0	1	2	0	2	1	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
93	0	0	0	0	0	0	0	1	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
94	0	0	0	0	1	0	0	0	0	Bacteria
95	0	0	1	0	0	0	0	0	0	Bacteria
96	1	4	2	6	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales
97	2	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales
98	0	0	0	0	0	0	0	0	1	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides
99	0	0	1	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales
100	1	0	2	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
101	0	0	0	0	0	0	1	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales
102	0	0	0	1	0	0	3	1	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Odoribacter
103	0	0	0	1	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
104	0	0	0	0	0	1	0	0	0	Bacteria;Bacteroidetes
105	0	0	0	0	0	1	0	0	0	Bacteria
106	0	0	0	0	0	0	0	0	1	Bacteria;Bacteroidetes
107	0	1	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales
108	0	1	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
109	1	1	0	2	4	0	0	0	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
110	0	0	0	0	0	0	1	0	0	Bacteria
111	0	0	0	0	0	0	5	0	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes
112	0	0	0	0	0	1	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales
113	0	2	1	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales
114	0	0	0	0	1	0	0	0	0	Bacteria
115	1	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
116	0	0	0	0	0	0	0	0	1	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacteraceae;Mucispirillum
117	0	0	1	1	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales
118	0	1	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales
119	1	0	0	1	0	1	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales
120	1	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales
121	0	1	0	0	0	0	0	0	1	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides
122	0	1	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales
123	1	3	1	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
124	0	0	1	0	0	0	0	1	0	Bacteria;Firmicutes;Clostridia;Clostridiales
125	1	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
126	0	0	0	0	0	0	0	1	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
127	1	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
128	0	0	0	0	0	1	0	0	0	Bacteria
129	2	2	2	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales
130	0	0	0	0	1	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales
131	1	0	0	0	0	0	0	0	0	Bacteria
132	1	0	0	0	0	0	0	1	0	Bacteria;Firmicutes
133	0	0	1	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales
134	0	0	0	0	0	0	1	0	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
135	0	0	0	0	0	0	1	0	0	Bacteria
136	1	0	1	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales
137	0	0	0	0	0	1	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
